,pcode,month_id,count,filled,unfilled,filled_pct,pl_pct
0,3BPD,2018_11,254,203,51,79.9,0.153
1,3BPD,2018_12,640,558,82,87.2,-0.005
2,3BPD,2019_01,250,203,47,81.2,-0.005
3,3BPD,2019_02,87,77,10,88.5,0.045
4,3BPD,2019_03,102,86,16,84.3,-0.045
5,3BPD,2019_04,104,81,23,77.9,-0.016
6,3BPD,2019_05,341,304,37,89.1,0.034
7,3BPD,2019_06,106,88,18,83.0,0.005
8,3BPD,2019_07,139,114,25,82.0,0.055
9,3BPD,2019_08,372,328,44,88.2,0.037
10,3BPD,2019_09,174,141,33,81.0,0.09
11,3BPD,2019_10,153,128,25,83.7,0.033
12,3BPD,2019_11,110,87,23,79.1,-0.507
13,3BPD,2019_12,95,77,18,81.1,-0.062
14,3BPD,2020_01,239,198,41,82.8,0.068
15,3BPD,2020_02,412,366,46,88.8,0.095
16,3BPD,2020_03,868,699,169,80.5,0.234
17,3BPD,2020_04,897,676,221,75.4,0.126
18,3BPD,2020_05,484,395,89,81.6,0.034
19,3BPD,2020_06,826,729,97,88.3,0.135
20,3BPD,2020_07,593,499,94,84.1,0.02
21,3BPD,2020_08,287,239,48,83.3,-0.02
22,3BPD,2020_09,623,481,142,77.2,-0.103
23,3BPD,2020_10,412,351,61,85.2,0.031
24,3BPD,2020_11,430,350,80,81.4,0.048
25,3BPD,2020_12,474,407,67,85.9,0.055
26,3BPD,2021_01,606,521,85,86.0,0.111
27,3BPD,2021_02,476,392,84,82.4,0.041
28,3BPD,2021_03,631,520,111,82.4,0.125
29,3BPD,2021_04,272,236,36,86.8,0.039
30,3BPD,2021_05,389,329,60,84.6,0.06
31,3BPD,2021_06,260,210,50,80.8,0.104
32,3BPD,2021_07,283,232,51,82.0,0.026
33,3BPD,2021_08,221,184,37,83.3,0.036
34,3BPD,2021_09,294,251,43,85.4,0.023
35,3BPD,2021_10,255,218,37,85.5,0.142
36,3BPD,2021_11,462,382,80,82.7,0.127
37,3BPD,2021_12,410,353,57,86.1,0.071
38,3BPD,2022_01,625,544,81,87.0,0.006
39,3BPD,2022_02,573,499,74,87.1,0.136
40,3BPD,2022_03,602,503,99,83.6,0.142
41,3BPD,2022_04,417,358,59,85.9,0.12
42,3BPD,2022_05,877,740,137,84.4,0.085
43,3BPD,2022_06,920,807,113,87.7,0.073
44,3BPD,2022_07,682,501,181,73.5,0.068
45,3BPD,2022_08,556,467,89,84.0,-0.014
46,3BPD,2022_09,438,357,81,81.5,0.071
47,3BPD,2022_10,674,566,108,84.0,0.011
48,3BPD,2022_11,840,681,159,81.1,0.094
