,pcode,year,count,filled,unfilled,filled_pct,pl_pct
0,3BPD,2018,894,761,133,85.1,0.037
1,3BPD,2019,2033,1714,319,84.3,-0.003
2,3BPD,2020,6545,5390,1155,82.4,0.077
3,3BPD,2021,4559,3828,731,84.0,0.082
4,3BPD,2022,7274,6084,1190,83.6,0.072
5,3BPU,2018,1039,916,123,88.2,0.11
6,3BPU,2019,2240,1856,384,82.9,0.008
7,3BPU,2020,6567,5446,1121,82.9,0.176
8,3BPU,2021,4847,4133,714,85.3,0.064
9,3BPU,2022,7309,6078,1231,83.2,0.032
10,BFLD,2018,522,457,65,87.5,0.086
11,BFLD,2019,1593,1392,201,87.4,0.052
12,BFLD,2020,5141,4510,631,87.7,0.075
13,BFLD,2021,3897,3367,530,86.4,0.024
14,BFLD,2022,4798,4227,571,88.1,0.066
15,BFLU,2018,464,393,71,84.7,0.016
16,BFLU,2019,1911,1690,221,88.4,0.016
17,BFLU,2020,5641,4937,704,87.5,0.081
18,BFLU,2021,4156,3678,478,88.5,0.615
19,BFLU,2022,4589,4036,553,87.9,0.043
20,BOD,2018,1158,965,193,83.3,-0.016
21,BOD,2019,7667,5986,1681,78.1,-0.007
22,BOD,2020,16791,13438,3353,80.0,0.182
23,BOD,2021,13244,10474,2770,79.1,0.041
24,BOD,2022,14707,11628,3079,79.1,0.095
25,BOU,2018,1908,1473,435,77.2,-0.016
26,BOU,2019,13698,11443,2255,83.5,0.128
27,BOU,2020,28921,23459,5462,81.1,0.143
28,BOU,2021,21134,17105,4029,80.9,0.181
29,BOU,2022,24182,19760,4422,81.7,0.135
30,BTRD,2018,95,89,6,93.7,0.161
31,BTRD,2019,363,314,49,86.5,0.052
32,BTRD,2020,1175,1042,133,88.7,0.111
33,BTRD,2021,712,633,79,88.9,0.083
34,BTRD,2022,999,887,112,88.8,0.048
35,BTRU,2018,76,65,11,85.5,0.067
36,BTRU,2019,409,359,50,87.8,0.064
37,BTRU,2020,1098,960,138,87.4,0.103
38,BTRU,2021,912,796,116,87.3,0.049
39,BTRU,2022,933,810,123,86.8,-0.009
40,CCB,2018,1124,954,170,84.9,-0.046
41,CCB,2019,3234,2748,486,85.0,0.059
42,CCB,2020,9710,8044,1666,82.8,0.043
43,CCB,2021,7135,5870,1265,82.3,0.02
44,CCB,2022,11606,9324,2282,80.3,0.039
45,CCS,2018,1201,1001,200,83.3,0.027
46,CCS,2019,2880,2377,503,82.5,0.021
47,CCS,2020,9891,8137,1754,82.3,0.061
48,CCS,2021,7280,6022,1258,82.7,0.016
49,CCS,2022,10999,9092,1907,82.7,0.006
50,DB,2018,3495,2094,1401,59.9,0.118
51,DB,2019,11401,7284,4117,63.9,0.1
52,DB,2020,32505,20231,12274,62.2,0.192
53,DB,2021,25738,15884,9854,61.7,0.687
54,DB,2022,38067,23928,14139,62.9,0.049
55,DBB,2018,716,626,90,87.4,0.182
