,time_hm,hour,minute,day_pct
0,830,8,30,0.0256
1,840,8,40,0.0513
2,850,8,50,0.0769
3,900,9,0,0.1026
4,910,9,10,0.1282
5,920,9,20,0.1538
6,930,9,30,0.1795
7,940,9,40,0.2051
8,950,9,50,0.2308
9,1000,10,0,0.2564
10,1010,10,10,0.2821
11,1020,10,20,0.3077
12,1030,10,30,0.3333
13,1040,10,40,0.359
14,1050,10,50,0.3846
15,1100,11,0,0.4103
16,1110,11,10,0.4359
17,1120,11,20,0.4615
18,1130,11,30,0.4872
19,1140,11,40,0.5128
20,1150,11,50,0.5385
21,1200,12,0,0.5641
22,1210,12,10,0.5897
23,1220,12,20,0.6154
24,1230,12,30,0.641
25,1240,12,40,0.6667
26,1250,12,50,0.6923
27,1300,13,0,0.7179
28,1310,13,10,0.7436
29,1320,13,20,0.7692
30,1330,13,30,0.7949
31,1340,13,40,0.8205
32,1350,13,50,0.8462
33,1400,14,0,0.8718
34,1410,14,10,0.8974
35,1420,14,20,0.9231
36,1430,14,30,0.9487
37,1440,14,40,0.9744
38,1450,14,50,1.0
39,1500,15,0,1.0
