,time_hm,agg,time
0,830,3T,08:30
1,833,3T,08:33
2,836,3T,08:36
3,839,3T,08:39
4,842,3T,08:42
5,845,3T,08:45
6,848,3T,08:48
7,851,3T,08:51
8,854,3T,08:54
9,857,3T,08:57
10,900,3T,09:00
11,903,3T,09:03
12,906,3T,09:06
13,909,3T,09:09
14,912,3T,09:12
15,915,3T,09:15
16,918,3T,09:18
17,921,3T,09:21
18,924,3T,09:24
19,927,3T,09:27
20,930,3T,09:30
21,933,3T,09:33
22,936,3T,09:36
23,939,3T,09:39
24,942,3T,09:42
25,945,3T,09:45
26,948,3T,09:48
27,951,3T,09:51
28,954,3T,09:54
29,957,3T,09:57
30,1000,3T,10:00
31,1003,3T,10:03
32,1006,3T,10:06
33,1009,3T,10:09
34,1012,3T,10:12
35,1015,3T,10:15
36,1018,3T,10:18
37,1021,3T,10:21
38,1024,3T,10:24
39,1027,3T,10:27
40,1030,3T,10:30
41,1033,3T,10:33
42,1036,3T,10:36
43,1039,3T,10:39
44,1042,3T,10:42
45,1045,3T,10:45
46,1048,3T,10:48
47,1051,3T,10:51
48,1054,3T,10:54
49,1057,3T,10:57
50,1100,3T,11:00
51,1103,3T,11:03
52,1106,3T,11:06
53,1109,3T,11:09
54,1112,3T,11:12
55,1115,3T,11:15
56,1118,3T,11:18
57,1121,3T,11:21
58,1124,3T,11:24
59,1127,3T,11:27
60,1130,3T,11:30
61,1133,3T,11:33
62,1136,3T,11:36
63,1139,3T,11:39
64,1142,3T,11:42
65,1145,3T,11:45
66,1148,3T,11:48
67,1151,3T,11:51
68,1154,3T,11:54
69,1157,3T,11:57
70,1200,3T,12:00
71,1203,3T,12:03
72,1206,3T,12:06
73,1209,3T,12:09
74,1212,3T,12:12
75,1215,3T,12:15
76,1218,3T,12:18
77,1221,3T,12:21
78,1224,3T,12:24
79,1227,3T,12:27
80,1230,3T,12:30
81,1233,3T,12:33
82,1236,3T,12:36
83,1239,3T,12:39
84,1242,3T,12:42
85,1245,3T,12:45
86,1248,3T,12:48
87,1251,3T,12:51
88,1254,3T,12:54
89,1257,3T,12:57
90,1300,3T,13:00
91,1303,3T,13:03
92,1306,3T,13:06
93,1309,3T,13:09
94,1312,3T,13:12
95,1315,3T,13:15
96,1318,3T,13:18
97,1321,3T,13:21
98,1324,3T,13:24
99,1327,3T,13:27
100,1330,3T,13:30
101,1333,3T,13:33
102,1336,3T,13:36
103,1339,3T,13:39
104,1342,3T,13:42
105,1345,3T,13:45
106,1348,3T,13:48
107,1351,3T,13:51
108,1354,3T,13:54
109,1357,3T,13:57
110,1400,3T,14:00
111,1403,3T,14:03
112,1406,3T,14:06
113,1409,3T,14:09
114,1412,3T,14:12
115,1415,3T,14:15
116,1418,3T,14:18
117,1421,3T,14:21
118,1424,3T,14:24
119,1427,3T,14:27
120,1430,3T,14:30
121,1433,3T,14:33
122,1436,3T,14:36
123,1439,3T,14:39
124,1442,3T,14:42
125,1445,3T,14:45
126,1448,3T,14:48
127,1451,3T,14:51
128,1454,3T,14:54
129,1457,3T,14:57
