,time_hm,day_pct,vol_pct,days,vol_pct_sum
0,830,0.0026,0.0102,120,0.0102
1,831,0.0051,0.0054,120,0.0156
2,832,0.0077,0.0046,120,0.0202
3,833,0.0103,0.0048,120,0.025
4,834,0.0128,0.0044,120,0.0294
5,835,0.0154,0.005,120,0.0344
6,836,0.0179,0.0045,120,0.0389
7,837,0.0205,0.0039,120,0.0428
8,838,0.0231,0.0042,120,0.047
9,839,0.0256,0.0037,120,0.0507
10,840,0.0282,0.0041,120,0.0548
11,841,0.0308,0.0036,120,0.0584
12,842,0.0333,0.0034,120,0.0618
13,843,0.0359,0.0034,120,0.0652
14,844,0.0385,0.0034,120,0.0686
15,845,0.041,0.004,120,0.0726
16,846,0.0436,0.0037,120,0.0763
17,847,0.0462,0.0034,120,0.0797
18,848,0.0487,0.0034,120,0.0831
19,849,0.0513,0.0033,120,0.0864
20,850,0.0538,0.004,120,0.0904
21,851,0.0564,0.0033,120,0.0937
22,852,0.059,0.0031,120,0.0968
23,853,0.0615,0.0033,120,0.1001
24,854,0.0641,0.0029,120,0.103
25,855,0.0667,0.003,120,0.106
26,856,0.0692,0.0029,120,0.1089
27,857,0.0718,0.0028,120,0.1117
28,858,0.0744,0.0028,120,0.1145
29,859,0.0769,0.0029,120,0.1174
30,900,0.0795,0.0047,120,0.1221
31,901,0.0821,0.0038,120,0.1259
32,902,0.0846,0.0035,120,0.1294
33,903,0.0872,0.0032,120,0.1326
34,904,0.0897,0.003,120,0.1356
35,905,0.0923,0.0031,120,0.1387
36,906,0.0949,0.0032,120,0.1419
37,907,0.0974,0.0029,120,0.1448
38,908,0.1,0.0028,120,0.1476
39,909,0.1026,0.0028,120,0.1504
40,910,0.1051,0.0032,120,0.1536
41,911,0.1077,0.003,120,0.1566
42,912,0.1103,0.0032,120,0.1598
43,913,0.1128,0.0027,120,0.1625
44,914,0.1154,0.0028,120,0.1653
45,915,0.1179,0.003,120,0.1683
46,916,0.1205,0.003,120,0.1713
47,917,0.1231,0.0027,120,0.174
48,918,0.1256,0.0025,120,0.1765
49,919,0.1282,0.0025,120,0.179
50,920,0.1308,0.0029,120,0.1819
51,921,0.1333,0.0027,120,0.1846
52,922,0.1359,0.0026,120,0.1872
53,923,0.1385,0.0026,120,0.1898
54,924,0.141,0.0035,120,0.1933
55,925,0.1436,0.0027,120,0.196
56,926,0.1462,0.0027,120,0.1987
57,927,0.1487,0.0032,120,0.2019
58,928,0.1513,0.0025,120,0.2044
59,929,0.1538,0.0025,120,0.2069
60,930,0.1564,0.0029,120,0.2098
61,931,0.159,0.0027,120,0.2125
62,932,0.1615,0.0027,120,0.2152
63,933,0.1641,0.0028,120,0.218
64,934,0.1667,0.0026,120,0.2206
65,935,0.1692,0.0025,120,0.2231
66,936,0.1718,0.0026,120,0.2257
67,937,0.1744,0.0027,120,0.2284
68,938,0.1769,0.0026,120,0.231
69,939,0.1795,0.0024,120,0.2334
