,lookback_id,month_id,lookback_start,lookback_end,backtest_start,backtest_end,lookback_months
0,2023_01_m12,2023_01,2022-01-01,2022-12-31,2023-01-01,2023-01-31,12
1,2022_12_m12,2022_12,2021-12-01,2022-11-30,2022-12-01,2022-12-31,12
2,2022_11_m12,2022_11,2021-11-01,2022-10-31,2022-11-01,2022-11-30,12
3,2022_10_m12,2022_10,2021-10-01,2022-09-30,2022-10-01,2022-10-31,12
4,2022_09_m12,2022_09,2021-09-01,2022-08-31,2022-09-01,2022-09-30,12
5,2022_08_m12,2022_08,2021-08-01,2022-07-31,2022-08-01,2022-08-31,12
6,2022_07_m12,2022_07,2021-07-01,2022-06-30,2022-07-01,2022-07-31,12
7,2022_06_m12,2022_06,2021-06-01,2022-05-31,2022-06-01,2022-06-30,12
8,2022_05_m12,2022_05,2021-05-01,2022-04-30,2022-05-01,2022-05-31,12
9,2022_04_m12,2022_04,2021-04-01,2022-03-31,2022-04-01,2022-04-30,12
10,2022_03_m12,2022_03,2021-03-01,2022-02-28,2022-03-01,2022-03-31,12
11,2022_02_m12,2022_02,2021-02-01,2022-01-31,2022-02-01,2022-02-28,12
12,2022_01_m12,2022_01,2021-01-01,2021-12-31,2022-01-01,2022-01-31,12
13,2021_12_m12,2021_12,2020-12-01,2021-11-30,2021-12-01,2021-12-31,12
14,2021_11_m12,2021_11,2020-11-01,2021-10-31,2021-11-01,2021-11-30,12
15,2021_10_m12,2021_10,2020-10-01,2021-09-30,2021-10-01,2021-10-31,12
16,2021_09_m12,2021_09,2020-09-01,2021-08-31,2021-09-01,2021-09-30,12
17,2021_08_m12,2021_08,2020-08-01,2021-07-31,2021-08-01,2021-08-31,12
18,2021_07_m12,2021_07,2020-07-01,2021-06-30,2021-07-01,2021-07-31,12
19,2021_06_m12,2021_06,2020-06-01,2021-05-31,2021-06-01,2021-06-30,12
20,2021_05_m12,2021_05,2020-05-01,2021-04-30,2021-05-01,2021-05-31,12
21,2021_04_m12,2021_04,2020-04-01,2021-03-31,2021-04-01,2021-04-30,12
22,2021_03_m12,2021_03,2020-02-01,2021-02-28,2021-03-01,2021-03-31,12
23,2021_02_m12,2021_02,2020-02-01,2021-01-31,2021-02-01,2021-02-28,12
24,2021_01_m12,2021_01,2020-01-01,2020-12-31,2021-01-01,2021-01-31,12
25,2020_12_m12,2020_12,2019-12-01,2020-11-30,2020-12-01,2020-12-31,12
26,2020_11_m12,2020_11,2019-11-01,2020-10-31,2020-11-01,2020-11-30,12
27,2020_10_m12,2020_10,2019-10-01,2020-09-30,2020-10-01,2020-10-31,12
28,2020_09_m12,2020_09,2019-09-01,2020-08-31,2020-09-01,2020-09-30,12
29,2020_08_m12,2020_08,2019-08-01,2020-07-31,2020-08-01,2020-08-31,12
30,2020_07_m12,2020_07,2019-07-01,2020-06-30,2020-07-01,2020-07-31,12
31,2020_06_m12,2020_06,2019-06-01,2020-05-31,2020-06-01,2020-06-30,12
32,2020_05_m12,2020_05,2019-05-01,2020-04-30,2020-05-01,2020-05-31,12
33,2020_04_m12,2020_04,2019-04-01,2020-03-31,2020-04-01,2020-04-30,12
34,2020_03_m12,2020_03,2019-03-01,2020-02-29,2020-03-01,2020-03-31,12
35,2020_02_m12,2020_02,2019-02-01,2020-01-31,2020-02-01,2020-02-29,12
36,2020_01_m12,2020_01,2019-01-01,2019-12-31,2020-01-01,2020-01-31,12
37,2019_12_m12,2019_12,2018-12-01,2019-11-30,2019-12-01,2019-12-31,12
38,2019_11_m12,2019_11,2018-11-01,2019-10-31,2019-11-01,2019-11-30,12
39,2019_10_m12,2019_10,2018-10-01,2019-09-30,2019-10-01,2019-10-31,12
40,2019_09_m12,2019_09,2018-09-01,2019-08-31,2019-09-01,2019-09-30,12
41,2019_08_m12,2019_08,2018-08-01,2019-07-31,2019-08-01,2019-08-31,12
42,2019_07_m12,2019_07,2018-07-01,2019-06-30,2019-07-01,2019-07-31,12
43,2019_06_m12,2019_06,2018-06-01,2019-05-31,2019-06-01,2019-06-30,12
44,2019_05_m12,2019_05,2018-05-01,2019-04-30,2019-05-01,2019-05-31,12
45,2019_04_m12,2019_04,2018-04-01,2019-03-31,2019-04-01,2019-04-30,12
46,2019_03_m12,2019_03,2018-03-01,2019-02-28,2019-03-01,2019-03-31,12
